,song_id,watson_response
12,1196,"{'usage': {'text_units': 1, 'text_characters': 2143, 'features': 3}, 'sentiment': {'document': {'score': -0.832193, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.299433, 'joy': 0.338091, 'fear': 0.134336, 'disgust': 0.047816, 'anger': 0.082155}}}, 'categories': [{'score': 0.845373, 'label': '/music and audio/hip hop music'}, {'score': 0.613706, 'label': '/family and relationships'}]}"
13,1490,"{'usage': {'text_units': 1, 'text_characters': 1664, 'features': 3}, 'sentiment': {'document': {'score': -0.628054, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.358232, 'joy': 0.329645, 'fear': 0.083248, 'disgust': 0.031843, 'anger': 0.060116}}}, 'categories': [{'score': 0.733291, 'label': '/personal finance/consumer banking'}, {'score': 0.63568, 'label': '/food & drink/desserts and baking'}, {'score': 0.569485, 'label': '/medical health'}]}"
14,17,"{'usage': {'text_units': 1, 'text_characters': 2970, 'features': 3}, 'sentiment': {'document': {'score': 0.48298, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.218314, 'joy': 0.569487, 'fear': 0.097298, 'disgust': 0.030404, 'anger': 0.050203}}}, 'categories': [{'score': 0.909742, 'label': '/music and audio/hip hop music'}, {'score': 0.665768, 'label': '/family and relationships/dating'}]}"
15,114,"{'usage': {'text_units': 1, 'text_characters': 3668, 'features': 3}, 'sentiment': {'document': {'score': -0.812871, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.224364, 'joy': 0.409208, 'fear': 0.146114, 'disgust': 0.058261, 'anger': 0.099137}}}, 'categories': [{'score': 0.74642, 'label': '/music and audio/r&b|soul|funk'}, {'score': 0.70342, 'label': '/music and audio/hip hop music'}, {'score': 0.649203, 'label': '/music and audio/rock music'}]}"
16,285,"{'usage': {'text_units': 1, 'text_characters': 2429, 'features': 3}, 'sentiment': {'document': {'score': 0.407675, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.229677, 'joy': 0.393086, 'fear': 0.135124, 'disgust': 0.055423, 'anger': 0.084868}}}, 'categories': [{'score': 0.743276, 'label': '/music and audio/hip hop music'}, {'score': 0.658331, 'label': '/music and audio/r&b|soul|funk'}, {'score': 0.599479, 'label': ""/music and audio/children's music""}]}"
17,411,"{'usage': {'text_units': 1, 'text_characters': 2359, 'features': 3}, 'sentiment': {'document': {'score': 0.387898, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.243007, 'joy': 0.361531, 'fear': 0.146654, 'disgust': 0.058844, 'anger': 0.109646}}}, 'categories': [{'score': 0.925667, 'label': '/music and audio/hip hop music'}]}"
18,831,"{'usage': {'text_units': 1, 'text_characters': 3186, 'features': 3}, 'sentiment': {'document': {'score': -0.425396, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.261568, 'joy': 0.436841, 'fear': 0.082528, 'disgust': 0.056254, 'anger': 0.115509}}}, 'categories': [{'score': 0.973699, 'label': '/music and audio/hip hop music'}]}"
19,897,"{'usage': {'text_units': 1, 'text_characters': 2673, 'features': 3}, 'sentiment': {'document': {'score': -0.896987, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.299205, 'joy': 0.411014, 'fear': 0.139766, 'disgust': 0.039299, 'anger': 0.103533}}}, 'categories': [{'score': 0.975599, 'label': '/music and audio/hip hop music'}]}"
20,1266,"{'usage': {'text_units': 1, 'text_characters': 1858, 'features': 3}, 'sentiment': {'document': {'score': -0.967664, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.324056, 'joy': 0.242854, 'fear': 0.131289, 'disgust': 0.072444, 'anger': 0.138098}}}, 'categories': [{'score': 0.979877, 'label': '/music and audio/hip hop music'}]}"
21,1272,"{'usage': {'text_units': 1, 'text_characters': 2919, 'features': 3}, 'sentiment': {'document': {'score': -0.764136, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.28917, 'joy': 0.273064, 'fear': 0.13974, 'disgust': 0.073872, 'anger': 0.172111}}}, 'categories': [{'score': 0.650491, 'label': '/music and audio/hip hop music'}, {'score': 0.571207, 'label': '/style & fashion/designer clothing'}]}"
22,1848,"{'usage': {'text_units': 1, 'text_characters': 3178, 'features': 3}, 'sentiment': {'document': {'score': -0.768087, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.25286, 'joy': 0.25502, 'fear': 0.114343, 'disgust': 0.051622, 'anger': 0.132537}}}, 'categories': [{'score': 0.980577, 'label': '/music and audio/hip hop music'}]}"
23,1699,"{'usage': {'text_units': 1, 'text_characters': 1697, 'features': 3}, 'sentiment': {'document': {'score': -0.719504, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.25497, 'joy': 0.325474, 'fear': 0.129164, 'disgust': 0.063921, 'anger': 0.107497}}}, 'categories': [{'score': 0.801398, 'label': '/music and audio/r&b|soul|funk'}, {'score': 0.724687, 'label': '/music and audio/alternative music'}, {'score': 0.719712, 'label': '/music and audio/rock music'}]}"
24,471,"{'usage': {'text_units': 1, 'text_characters': 996, 'features': 3}, 'sentiment': {'document': {'score': 0.839148, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.224648, 'joy': 0.521386, 'fear': 0.083939, 'disgust': 0.031935, 'anger': 0.042298}}}, 'categories': [{'score': 0.919679, 'label': '/events and attractions/personal celebrations & life events/baby shower'}, {'score': 0.724591, 'label': '/events and attractions/personal celebrations & life events/birth'}, {'score': 0.711817, 'label': '/family and relationships'}]}"
25,1651,"{'usage': {'text_units': 1, 'text_characters': 996, 'features': 3}, 'sentiment': {'document': {'score': 0.839148, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.224648, 'joy': 0.521386, 'fear': 0.083939, 'disgust': 0.031935, 'anger': 0.042298}}}, 'categories': [{'score': 0.919679, 'label': '/events and attractions/personal celebrations & life events/baby shower'}, {'score': 0.724591, 'label': '/events and attractions/personal celebrations & life events/birth'}, {'score': 0.711817, 'label': '/family and relationships'}]}"
26,881,"{'usage': {'text_units': 1, 'text_characters': 1978, 'features': 3}, 'sentiment': {'document': {'score': -0.359053, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.194681, 'joy': 0.453164, 'fear': 0.131471, 'disgust': 0.028375, 'anger': 0.0819}}}, 'categories': [{'score': 0.605879, 'label': '/events and attractions/personal celebrations & life events/prom'}, {'score': 0.584112, 'label': ""/music and audio/children's music""}, {'score': 0.556424, 'label': '/music and audio/soundtracks, tv and showtunes'}]}"
27,290,"{'usage': {'text_units': 1, 'text_characters': 1464, 'features': 3}, 'sentiment': {'document': {'score': -0.347057, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.249154, 'joy': 0.23704, 'fear': 0.209094, 'disgust': 0.026522, 'anger': 0.112958}}}, 'categories': [{'score': 0.627083, 'label': '/family and relationships'}, {'score': 0.626357, 'label': '/family and relationships/dating'}, {'score': 0.608243, 'label': '/music and audio/r&b|soul|funk'}]}"
28,1106,"{'usage': {'text_units': 1, 'text_characters': 2696, 'features': 3}, 'sentiment': {'document': {'score': -0.577174, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.385196, 'joy': 0.25965, 'fear': 0.157953, 'disgust': 0.040469, 'anger': 0.062663}}}, 'categories': [{'score': 0.677911, 'label': '/music and audio/r&b|soul|funk'}, {'score': 0.589597, 'label': '/family and relationships'}, {'score': 0.576875, 'label': '/music and audio/rock music'}]}"
29,1117,"{'usage': {'text_units': 1, 'text_characters': 1852, 'features': 3}, 'sentiment': {'document': {'score': 0.953703, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.20095, 'joy': 0.548745, 'fear': 0.10568, 'disgust': 0.045498, 'anger': 0.042406}}}, 'categories': [{'score': 0.736352, 'label': '/family and relationships'}, {'score': 0.688081, 'label': '/family and relationships/dating'}, {'score': 0.680536, 'label': '/family and relationships/divorce'}]}"
30,1402,"{'usage': {'text_units': 1, 'text_characters': 1148, 'features': 3}, 'sentiment': {'document': {'score': -0.852502, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.157542, 'joy': 0.433388, 'fear': 0.253237, 'disgust': 0.056333, 'anger': 0.05824}}}, 'categories': [{'score': 0.858197, 'label': '/sports/golf'}]}"
31,1800,"{'usage': {'text_units': 1, 'text_characters': 1656, 'features': 3}, 'sentiment': {'document': {'score': -0.615785, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.270788, 'joy': 0.32699, 'fear': 0.174464, 'disgust': 0.044065, 'anger': 0.099294}}}, 'categories': [{'score': 0.793225, 'label': '/music and audio/r&b|soul|funk'}, {'score': 0.761165, 'label': '/music and audio/hip hop music'}, {'score': 0.670188, 'label': ""/music and audio/children's music""}]}"
32,300,"{'usage': {'text_units': 1, 'text_characters': 1388, 'features': 3}, 'sentiment': {'document': {'score': -0.659225, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.331787, 'joy': 0.264937, 'fear': 0.092241, 'disgust': 0.076097, 'anger': 0.102891}}}, 'categories': [{'score': 0.688674, 'label': '/family and relationships/dating'}, {'score': 0.596795, 'label': '/events and attractions/personal celebrations & life events'}, {'score': 0.595845, 'label': '/news and politics/crime'}]}"
33,1463,"{'usage': {'text_units': 1, 'text_characters': 1616, 'features': 3}, 'sentiment': {'document': {'score': -0.931127, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.373561, 'joy': 0.255014, 'fear': 0.168655, 'disgust': 0.034035, 'anger': 0.083092}}}, 'categories': [{'score': 0.731462, 'label': '/family and relationships/dating'}, {'score': 0.673172, 'label': '/video gaming/video game genres'}, {'score': 0.650318, 'label': '/music and audio/r&b|soul|funk'}]}"
34,156,"{'usage': {'text_units': 1, 'text_characters': 2635, 'features': 3}, 'sentiment': {'document': {'score': -0.677101, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.19607, 'joy': 0.360755, 'fear': 0.197264, 'disgust': 0.043647, 'anger': 0.121553}}}, 'categories': [{'score': 0.609751, 'label': ""/music and audio/children's music""}, {'score': 0.586147, 'label': '/music and audio/hip hop music'}, {'score': 0.580866, 'label': '/music and audio/rock music'}]}"
35,135,"{'usage': {'text_units': 1, 'text_characters': 2933, 'features': 3}, 'sentiment': {'document': {'score': -0.538307, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.206562, 'joy': 0.39956, 'fear': 0.167483, 'disgust': 0.063266, 'anger': 0.064304}}}, 'categories': [{'score': 0.633699, 'label': '/events and attractions/personal celebrations & life events/prom'}, {'score': 0.588195, 'label': '/events and attractions/personal celebrations & life events/wedding'}, {'score': 0.588085, 'label': '/family and relationships/dating'}]}"
36,149,"{'usage': {'text_units': 1, 'text_characters': 3051, 'features': 3}, 'sentiment': {'document': {'score': 0.711682, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.184406, 'joy': 0.64627, 'fear': 0.062738, 'disgust': 0.032918, 'anger': 0.063528}}}, 'categories': [{'score': 0.685301, 'label': '/music and audio/hip hop music'}, {'score': 0.660296, 'label': '/style & fashion/beauty'}, {'score': 0.652422, 'label': '/music and audio/r&b|soul|funk'}]}"
37,440,"{'usage': {'text_units': 1, 'text_characters': 2859, 'features': 3}, 'sentiment': {'document': {'score': -0.351887, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.334144, 'joy': 0.309041, 'fear': 0.124737, 'disgust': 0.042443, 'anger': 0.080715}}}, 'categories': [{'score': 0.942891, 'label': '/sports/boxing'}, {'score': 0.772526, 'label': '/sports/martial arts'}]}"
38,790,"{'usage': {'text_units': 1, 'text_characters': 2733, 'features': 3}, 'sentiment': {'document': {'score': -0.746976, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.21039, 'joy': 0.307883, 'fear': 0.109495, 'disgust': 0.07078, 'anger': 0.182806}}}, 'categories': [{'score': 0.925452, 'label': '/music and audio/hip hop music'}, {'score': 0.710012, 'label': '/music and audio/r&b|soul|funk'}]}"
39,993,"{'usage': {'text_units': 1, 'text_characters': 2364, 'features': 3}, 'sentiment': {'document': {'score': -0.956717, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.351084, 'joy': 0.202262, 'fear': 0.215094, 'disgust': 0.04819, 'anger': 0.148493}}}, 'categories': [{'score': 0.861004, 'label': '/music and audio/hip hop music'}, {'score': 0.693616, 'label': '/music and audio/r&b|soul|funk'}]}"
40,997,"{'usage': {'text_units': 1, 'text_characters': 2621, 'features': 3}, 'sentiment': {'document': {'score': -0.991725, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.490365, 'joy': 0.193494, 'fear': 0.128954, 'disgust': 0.040213, 'anger': 0.057121}}}, 'categories': [{'score': 0.708604, 'label': '/family and relationships'}, {'score': 0.702537, 'label': '/family and relationships/dating'}, {'score': 0.617991, 'label': '/movies/family and children movies'}]}"
41,1389,"{'usage': {'text_units': 1, 'text_characters': 2000, 'features': 3}, 'sentiment': {'document': {'score': -0.773237, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.457807, 'joy': 0.322692, 'fear': 0.121325, 'disgust': 0.024977, 'anger': 0.075545}}}, 'categories': [{'score': 0.595762, 'label': '/television/music tv'}, {'score': 0.587775, 'label': '/style & fashion/body art'}, {'score': 0.561408, 'label': '/music and audio/contemporary hits|pop|top 40'}]}"
42,1527,"{'usage': {'text_units': 1, 'text_characters': 2996, 'features': 3}, 'sentiment': {'document': {'score': -0.920726, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.197922, 'joy': 0.290074, 'fear': 0.160099, 'disgust': 0.051333, 'anger': 0.226041}}}, 'categories': [{'score': 0.801982, 'label': '/music and audio/hip hop music'}, {'score': 0.611588, 'label': '/automotive/auto shows'}, {'score': 0.596007, 'label': '/video gaming/video game genres'}]}"
43,641,"{'usage': {'text_units': 1, 'text_characters': 2189, 'features': 3}, 'sentiment': {'document': {'score': -0.352471, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.217519, 'joy': 0.433566, 'fear': 0.081183, 'disgust': 0.083595, 'anger': 0.111656}}}, 'categories': [{'score': 0.841363, 'label': '/news and politics/crime'}, {'score': 0.804666, 'label': '/movies/crime and mystery movies'}, {'score': 0.644689, 'label': '/family and relationships'}]}"
44,1692,"{'usage': {'text_units': 1, 'text_characters': 2524, 'features': 3}, 'sentiment': {'document': {'score': 0.493325, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.181823, 'joy': 0.402557, 'fear': 0.107676, 'disgust': 0.080349, 'anger': 0.103571}}}, 'categories': [{'score': 0.992916, 'label': '/events and attractions/personal celebrations & life events/prom'}, {'score': 0.97812, 'label': '/music and audio/dance and electronic music'}, {'score': 0.975498, 'label': '/events and attractions/nightclubs'}]}"
45,396,"{'usage': {'text_units': 1, 'text_characters': 1077, 'features': 3}, 'sentiment': {'document': {'score': 0.461839, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.201958, 'joy': 0.50854, 'fear': 0.132055, 'disgust': 0.045387, 'anger': 0.069751}}}, 'categories': [{'score': 0.642997, 'label': '/events and attractions/awards shows'}]}"
46,127,"{'usage': {'text_units': 1, 'text_characters': 2203, 'features': 3}, 'sentiment': {'document': {'score': -0.732067, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.309819, 'joy': 0.398207, 'fear': 0.151, 'disgust': 0.036283, 'anger': 0.076174}}}, 'categories': [{'score': 0.661874, 'label': '/music and audio/hip hop music'}, {'score': 0.627147, 'label': '/music and audio/r&b|soul|funk'}, {'score': 0.57481, 'label': ""/music and audio/children's music""}]}"
47,178,"{'usage': {'text_units': 1, 'text_characters': 514, 'features': 3}, 'sentiment': {'document': {'score': -0.501995, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.138098, 'joy': 0.257143, 'fear': 0.171075, 'disgust': 0.029255, 'anger': 0.166464}}}, 'categories': [{'score': 0.985, 'label': '/music and audio/talk radio'}]}"
48,40,"{'usage': {'text_units': 1, 'text_characters': 2070, 'features': 3}, 'sentiment': {'document': {'score': 0.698201, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.251124, 'joy': 0.3915, 'fear': 0.079485, 'disgust': 0.068921, 'anger': 0.103993}}}, 'categories': [{'score': 0.715314, 'label': '/family and relationships'}, {'score': 0.682678, 'label': '/family and relationships/divorce'}, {'score': 0.636402, 'label': ""/healthy living/women's health""}]}"
49,400,"{'usage': {'text_units': 1, 'text_characters': 1944, 'features': 3}, 'sentiment': {'document': {'score': -0.905487, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.427603, 'joy': 0.260605, 'fear': 0.105189, 'disgust': 0.046711, 'anger': 0.127011}}}, 'categories': [{'score': 0.683946, 'label': '/family and relationships/dating'}, {'score': 0.631784, 'label': '/news and politics/law'}, {'score': 0.607739, 'label': '/family and relationships/divorce'}]}"
50,490,"{'usage': {'text_units': 1, 'text_characters': 984, 'features': 3}, 'sentiment': {'document': {'score': -0.391386, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.268645, 'joy': 0.451282, 'fear': 0.197342, 'disgust': 0.028702, 'anger': 0.073376}}}, 'categories': [{'score': 0.89584, 'label': '/events and attractions/personal celebrations & life events/baby shower'}, {'score': 0.720974, 'label': '/events and attractions/personal celebrations & life events/birth'}]}"
51,906,"{'usage': {'text_units': 1, 'text_characters': 2191, 'features': 3}, 'sentiment': {'document': {'score': -0.988417, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.307419, 'joy': 0.252533, 'fear': 0.12629, 'disgust': 0.042176, 'anger': 0.096161}}}, 'categories': [{'score': 0.727031, 'label': '/family and relationships'}, {'score': 0.725497, 'label': '/family and relationships/dating'}, {'score': 0.701007, 'label': '/events and attractions/personal celebrations & life events/baby shower'}]}"
52,1198,"{'usage': {'text_units': 1, 'text_characters': 1360, 'features': 3}, 'sentiment': {'document': {'score': -0.785079, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.253334, 'joy': 0.306672, 'fear': 0.139522, 'disgust': 0.036437, 'anger': 0.061168}}}, 'categories': [{'score': 0.672293, 'label': '/music and audio/r&b|soul|funk'}, {'score': 0.623652, 'label': ""/music and audio/children's music""}, {'score': 0.606033, 'label': '/family and relationships'}]}"
53,1977,"{'usage': {'text_units': 1, 'text_characters': 2279, 'features': 3}, 'sentiment': {'document': {'score': 0.30671, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.245453, 'joy': 0.46629, 'fear': 0.128305, 'disgust': 0.042815, 'anger': 0.071036}}}, 'categories': [{'score': 0.739147, 'label': '/family and relationships/dating'}, {'score': 0.688253, 'label': '/sports/boxing'}, {'score': 0.659992, 'label': '/music and audio/r&b|soul|funk'}]}"
54,1529,"{'usage': {'text_units': 1, 'text_characters': 2060, 'features': 3}, 'sentiment': {'document': {'score': -0.510624, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.211317, 'joy': 0.424834, 'fear': 0.150485, 'disgust': 0.04251, 'anger': 0.065393}}}, 'categories': [{'score': 0.787373, 'label': '/real estate/apartments'}, {'score': 0.621899, 'label': '/news and politics/crime'}, {'score': 0.597497, 'label': '/sports/baseball'}]}"
55,1345,"{'usage': {'text_units': 1, 'text_characters': 2071, 'features': 3}, 'sentiment': {'document': {'score': -0.459853, 'label': 'negative'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.259279, 'joy': 0.401912, 'fear': 0.162812, 'disgust': 0.032651, 'anger': 0.049292}}}, 'categories': [{'score': 0.983003, 'label': '/sports/swimming'}]}"
56,391,"{'usage': {'text_units': 1, 'text_characters': 1693, 'features': 3}, 'sentiment': {'document': {'score': 0.666713, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.246037, 'joy': 0.330536, 'fear': 0.123694, 'disgust': 0.047427, 'anger': 0.082245}}}, 'categories': [{'score': 0.728445, 'label': '/books and literature/fiction'}, {'score': 0.69175, 'label': '/family and relationships/dating'}, {'score': 0.655957, 'label': '/movies/family and children movies'}]}"
57,92,"{'usage': {'text_units': 1, 'text_characters': 1349, 'features': 3}, 'sentiment': {'document': {'score': 0.36507, 'label': 'positive'}}, 'language': 'en', 'emotion': {'document': {'emotion': {'sadness': 0.276585, 'joy': 0.439633, 'fear': 0.121904, 'disgust': 0.031536, 'anger': 0.062206}}}, 'categories': [{'score': 0.671527, 'label': '/music and audio/r&b|soul|funk'}, {'score': 0.670063, 'label': '/religion & spirituality/spirituality'}, {'score': 0.656905, 'label': '/family and relationships/bereavement'}]}"
